CUSTOMER_ID,firstname,lastname,email,gender,contactNum,country,dob
1,Rohit,Lavate,rohit.lavate@example.com,Male,9876543210,India,1995-06-15
2,Ananya,Sharma,ananya.sharma@example.com,Female,8765432109,India,1998-09-22
3,Michael,Smith,michael.smith@example.com,Male,7456123987,USA,1990-02-12
4,Sophia,Johnson,sophia.johnson@example.com,Female,7890654321,UK,1992-11-30
5,Arjun,Patel,arjun.patel@example.com,Male,9123456780,India,1996-04-05
6,Lisa,Wong,lisa.wong@example.com,Female,8523697410,China,1993-08-17
7,David,Kim,david.kim@example.com,Male,9632587410,South Korea,1988-01-25
8,Nina,Lopez,nina.lopez@example.com,Female,7410258963,Mexico,1997-05-10
9,Ali,Khan,ali.khan@example.com,Male,8521479630,Pakistan,1994-12-02
10,Emma,Brown,emma.brown@example.com,Female,7894561230,Australia,1991-07-18
